root,meaning
"maḱo-, or moḱ-o-",fly
"maḱo-, or moḱ-o-",gnat
māḱ- : məḱ-,long and slender
makʰ-o-s,bold
makʰ-o-s,wild
makʰ-o-s,frisky
makʰ-o-s,unbridled
mand-,pen/hurdle of plaited rods/twigs
"mā-no-, mā-ni-",wet
"mā-no-, mā-ni-",damp
"manu-s, or monu-s",man
"manu-s, or monu-s",human being
marko-,mare
marko-,horse
"1. matʰ-, or motʰ-",moth
"1. matʰ-, or motʰ-",harmful insect
2. mat-,club
2. mat-,hoe
2. mat-,mattock
mātér-,mother
mau-ro-,tired
mau-ro-,weak; dark
mazdo-s,mast
mazdo-s,pole
1. me-,me (1st pers. sg. oblique pronoun stem)
2. me-,by
2. me-,with
2. me-,amidst
2. me-,around
1. mē-,(prohibitive particle: lest
1. mē-,that not)
"2. mē-, m-e-t-",to mow
"2. mē-, m-e-t-",reap
"3. mē-, m-e-t-",to measure
"4. mē-, mō-",big
"4. mē-, mō-",important
"5. mē-, mō-, mə-",to be intent; of strong will
1. med-,to mete
1. med-,allot; medicate
1. med-,give advice
2. med-,to swell
"medʰi-, medʰi̯o-",middle
médʰu,mead
médʰu,honey
mē̆gʰ-,friendly
mē̆gʰ-,well-disposed
meǵ(ʰ)- : m<sub>e</sub>ǵ(ʰ)-,big
meǵ(ʰ)- : m<sub>e</sub>ǵ(ʰ)-,much
meǵ(ʰ)- : m<sub>e</sub>ǵ(ʰ)-,great
meǵ(ʰ)- : m<sub>e</sub>ǵ(ʰ)-,major
meǵ(ʰ)- : m<sub>e</sub>ǵ(ʰ)-,mega-
1. mei-,to mure
1. mei-,repair
1. mei-,strengthen; pole
2. mei-,to change
2. mei-,mutate
2. mei-,exchange
3. mei-,to go
3. mei-,wander
4. mei-,to tie
4. mei-,bind
"5. mei-, mi-neu-",to lessen
"5. mei-, mi-neu-",diminish; small
"5. mei-, mi-neu-",minor
"6. mei-, mei̯u-, min(u)-, mim(ei)-",(onomatopoeic: high thin sound)
7. mēi- : mōi- : mī-,mild
7. mēi- : mōi- : mī-,soft
"meigʰ-, also meik-",to flicker
"meigʰ-, also meik-",twinkle; mist
meiǵʰ-,to micturate
meiǵʰ-,urinate
mei-gʷ-,to (ex)change
"mei-ḱ-, and mei-ǵ-?",to mix
"mei-ḱ-, and mei-ǵ-?",mash
"mei-ḱ-, and mei-ǵ-?",stir
mei-no-,view
mei-no-,opinion
mei-no-,intention
meis-,to flicker
meis-,twinkle; mist
1. meit(ʰ)-,place to stay
2. mei-t(ʰ)-,to commute
2. mei-t(ʰ)-,(ex)change
mek-,(onomatopoeic: to bleat)
"1. mel-, also smel-, melə- : mlē-, mel-d- : ml-ed-, mel-dʰ-, ml-ēi- : mlī̆-, melə-k- : mlā-k-, mlēu- : mlū̆-",to mill
"1. mel-, also smel-, melə- : mlē-, mel-d- : ml-ed-, mel-dʰ-, ml-ēi- : mlī̆-, melə-k- : mlā-k-, mlēu- : mlū̆-",grind; fine
"1. mel-, also smel-, melə- : mlē-, mel-d- : ml-ed-, mel-dʰ-, ml-ēi- : mlī̆-, melə-k- : mlā-k-, mlēu- : mlū̆-",ground
2. mel-,to deceive
3. mel-,to hesitate
4. mel-,big
4. mel-,strong
5. mel-,limb; to join
"6. mel-, melə-",dark color (black
"6. mel-, melə-",dirty
"6. mel-, melə-",etc.)
7. mel-,wool
7. mel-,woolen garment
"8. mel-, melə- : mlō-",to appear
"8. mel-, melə- : mlō-",come forth
1. meldʰ-,to utter ritual words (to deity)
2. meldʰ-,lightning
"mē̆lǵ-, or meləǵ-?",to milk
"mē̆lǵ-, or meləǵ-?",pluck
"mē̆lǵ-, or meləǵ-?",wipe off
melǵʰ-,to swell
"meli-t, genitive mel-nés",honey
1. melk-,to rub
1. melk-,stroke
"2. melk-, melg-",wet
"mēlo-, smēlo-",small animal
mels-,to taste
membʰ-,to reproach
"mēmso-, mē(m)s-ro-",meat
"mēmso-, mē(m)s-ro-",flesh
1. men-,to rise
1. men-,mount
1. men-,tower
2. men-,to press
2. men-,step on
2. men-,tread down
3. men-,to think; mind
3. men-,spiritual activity
4. men-,to diminish; small
5. men-,to stay
5. men-,remain
5. men-,stand still
"mend-, mond-, mn̥d-?",to feed
"mend-, mond-, mn̥d-?",suck(le); breast
mendā,flaw
mendā,defect
mendā,mistake
mendʰ-,to direct attention to; vivacious
"men(e)gʰ-, mon(e)gʰ-, mn̥gʰ-",many
"men(e)gʰ-, mon(e)gʰ-, mn̥gʰ-",copious
"men(e)gʰ-, mon(e)gʰ-, mn̥gʰ-",abundant
"men(e)gʰ-, mon(e)gʰ-, mn̥gʰ-",excessive
men(ə)k-,to knead
meng-,to make pretty
meng-,beautiful
m<sub>e</sub>ni-,minnow (or other type of fish)
"mēnōt, genitive mēneses, from wʰicʰ mēnes-, mēns-, mēs-, mēn-",month; moon
"1. mentʰ-, metʰ-",to stir
"1. mentʰ-, metʰ-",swirl
"1. mentʰ-, metʰ-",mix up
2. mentʰ-,to chew
2. mentʰ-,eat
1. mer-,to plait
1. mer-,weave; rope
2. mer-,to flicker
2. mer-,shimmer
"3. mer-, mor-(u-)",to blacken; dark color
"3. mer-, mor-(u-)",dirt spot
"4. mer-, merə-",to die
"5. mer-, merə-",to rub
"5. mer-, merə-",wipe; pack
"5. mer-, merə-",rob
"6. mer-, mer-s-",to anger
"6. mer-, mer-s-",bother
"6. mer-, mer-s-",disturb
"6. mer-, mer-s-",etc.
"merədʰ-, mrādʰ-",to boil
"merədʰ-, mrādʰ-",bubble up
mereǵ-,march
mereǵ-,edge
mereǵ-,border
mereǵ-,frontier
meregʰ-,to soak
meregʰ-,moisten
meregʰ-,drizzle
1. merǵ-,to wipe off
meri̯o-,young man/woman
merḱ-,to grab
merḱ-,seize
"1. merk-, merǵ-, merək-, merəǵ-",to rot
"2. merk-, mork-",vexed
"2. merk-, mork-",sullen
"mə-r, genitive mə-n-és, mn̥tós",hand
"1. meu-, meu̯ə- : mū̆-",wet
"1. meu-, meu̯ə- : mū̆-",damp; to wash; dirt
"1. meu-, meu̯ə- : mū̆-",mud
"1. meu-, meu̯ə- : mū̆-",mire
"2. meu̯-, meu̯ə-",to move
"2. meu̯-, meu̯ə-",push away
"mēudʰ-, məudʰ-, mūdʰ-",to complain
"mēudʰ-, məudʰ-, mūdʰ-",care about
"mēudʰ-, məudʰ-, mūdʰ-",be intent
1. meug-,to lie in wait
1. meug-,take by surprise; wily
"2. meug-, meuk-",to slip
"2. meug-, meuk-",slide; meek
meuḱ-,to tear
meuḱ-,slit
meuḱ-,scratch
1. mezg-,to dive
1. mezg-,plunge
1. mezg-,immerse
2. mezg-,to bind
2. mezg-,knit
2. mezg-,knot
2. mezg-,attach
mizdʰó-,fee
mizdʰó-,pay
mizdʰó-,meed
mizdʰó-,reward
"mō-, mo-lo-",to strain
"mō-, mo-lo-",trouble oneself
"mōd- : məd-, or mād- : məd-",to meet
"mōd- : məd-, or mād- : məd-",approach
"modʰro-, or madʰro-",blue; madder
"moiso-s, or maiso-s",sheep; hide
"moiso-s, or maiso-s",pelt
"moiso-s, or maiso-s",leatherwork
"moḱs, Indo-Iranian *moḱsū̆",soon
molko-,pouch
molko-,leather bag
mono-,neck; mane
"mori, mōri",mere
"mori, mōri",sea
"mormor-, murmur-",to murmur (dully)
mormo(ro)-,fear
mormo(ro)-,dread
mormo(ro)-,horror
moro-,murrey
moro-,mulberry
moro-,blackberry
moru̯ī̆-,maur
moru̯ī̆-,mire
moru̯ī̆-,ant
mo[u]-lo- : mū-lo-,root
mo[u]-lo- : mū-lo-,plant
mō[u]-ro- : mū-ro-,crazy
mō[u]-ro- : mū-ro-,stupid
"moz-g-o-, moz-g-en-, mos-k-o-",brain
mozǵʰo-s,young cattle
mrk-,more
mrk-,carrot
mrk-,edible root
mregʰ-m(n)o-,brain
mregʰ-m(n)o-,skull
"mreǵʰu-, mr̥ǵʰu-",brief
"mreǵʰu-, mr̥ǵʰu-",short
1. mū̆-,(onomatopoeic: to moo
1. mū̆-,hum
1. mū̆-,etc.)
"2. mū-, mus-",fly
"2. mū-, mus-",gnat
"2. mū-, mus-",midge
"2. mū-, mus-",muscid
"2. mū-, mus-",mosquito
mū̆k-,heap
mū̆k-,etc.
mūs,mouse; muscle
mut-o-s,trimmed
mut-o-s,stunted
mut-o-s,circumcised
mut-o-s,mutilated
1. nā-,to help
1. nā-,be useful
2. nā-,to be afraid
2. nā-,ashamed
nak-,fur
nak-,pelt
"nana, nena",nana (nursery word: (grand)mother
"nana, nena",etc.)
nant-,to dare
nant-,risk
nas-,nose
1. nāus-,boat
1. nāus-,ship
2. nāu- : nəu- : nū-,death; corpse
"1. nĕ, nē, nei",(negative particle: no
"1. nĕ, nē, nei",etc.)
"3. ne-, nō-, plural nē̆s-, nō̆s-",we
1. nebʰ-,to burst
2. nebʰ-,wet
2. nebʰ-,damp; clouds; water
1. ned- : n<sub>e</sub>d-,to net
1. ned- : n<sub>e</sub>d-,bind
1. ned- : n<sub>e</sub>d-,connect
1. ned- : n<sub>e</sub>d-,roll up
1. ned- : n<sub>e</sub>d-,twist together
2. ned-,to roar
2. ned-,sound
2. ned-,bellow
nedo-,reed
neǵʰ-,to bore
neǵʰ-,pierce
neǵʰ-,stab
neǵʰ-,stick
"1. nei-, neiə- : nī-",to lead
"2. nei-, neiə-, nī-",to be moved
"2. nei-, neiə-, nī-",excited; to shine
"3. nei-, ni-",in
1. neid-,to scold
1. neid-,shame
1. neid-,abuse
2. neid- : nid-,to flow; stream
neigʷ-,to wash
neik-,to winnow (grain)
nēik- : nīk- : nik-,to rail
nēik- : nīk- : nik-,fight
nēik- : nīk- : nik-,assault
neḱ-,death
neḱ-,dying
neḱ-,necrosis; corpse
"nekʷ-(t-), nokʷ-t-s",night
1. nem-,to nim
1. nem-,take
1. nem-,give
1. nem-,count
1. nem-,apportion
2. nem-,to bend
nepōt-,nephew; grandchild
"1. ner(-t)-, aner-, əner-?",vital force; man
2. ner-,below
2. ner-,under
3. ner-,to penetrate; hiding place
3. ner-,hollow
nes-,to unite; be concealed
"nē-tr-, nə-tr-",snake
"nē-tr-, nə-tr-",adder
1. neu-,to call
1. neu-,praise
2. neu-,to push (someone); to nod
neu-d-,to grasp
neu-d-,make use of
neu-dʰ-,to lust
neu-dʰ-,desire
neu-dʰ-,yearn for
neuk-,dark
neuk-,unclear
neuk-,indistinct
"neu-ks-, neu-s-",to scent
"neu-ks-, neu-s-",smell
"neu-ks-, neu-s-",sniff
"neu̯os, neu̯i̯os",new
"nogʷ-, nogʷod(ʰ)o-, nogʷ-no-",nude
"nogʷ-, nogʷod(ʰ)o-, nogʷ-no-",naked
"nogʷo-, or nagʷo-",tree
"nōt-, nət-",rump
"nōt-, nət-",nates
"nōt-, nət-",backside
nū̆-,now
"n̥dʰos, n̥dʰeri",under
n̥si-,black
n̥si-,dirty
n̥si-s,sword
2. ō,O (vocative particle)
obʰel-,to sweep; multiply
1. od-,to smell
2. od-,hatred
2. od-,disgust
2. od-,odium
2. od-,aversion
"ōg-, əg-",to grow; fruit
"ōg-, əg-",berry
oid-,to swell; strong
"oi-no-, oi-u̯o-",(demonstrative particle: one
"oi-no-, oi-u̯o-",this
"oi-no-, oi-u̯o-",etc.)
ok-,to consider
oḱtō(u),eight
oḱtō(u),octad
ōḱú-s,quick(ly)
okʷ-,to see
okʷ-,ogle; eye
ol-(e-),to destroy
om-,raw
om-,coarse
om-,bitter
om(e)so-s,shoulder
omə-,to suffer; firm up
omə-,proceed energetically
"ond-, n̥d-",rock
"ond-, n̥d-",stone
oner-,dream
"ong-, better ang-",coal
ongʷ-,to anoint
"ono-, and onə-, also (o)no-d-",to scold
"ono-, and onə-, also (o)no-d-",abuse
"ono-, and onə-, also (o)no-d-",revile
"onogʰ- : ongʰ-, nogʰ-, Celtic n̥gʰ-, ongʰ-li-",claw
"onogʰ- : ongʰ-, nogʰ-, Celtic n̥gʰ-, ongʰ-li-",(finger/toe) nail
1. op-,to work
1. op-,perform
1. op-,operate
1. op-,bring about
2. op-,to opt
2. op-,choose
2. op-,opine
2. op-,suggest
"ōr-, ər-",to call
"ōr-, ər-",speak
"ōr-, ər-",talk
"ōr-, ər-",orate
orbʰo-,weak
orbʰo-,abandoned; slave
orbʰo-,orphan
"orǵʰi-, r̥ǵʰi-",testicle
ort-,vine
"*ōs, ōs-i-s, ō̆s-en-, os-k-",ash (tree)
"ost(ʰ)-, ost(ʰ)i, ost(ʰ)r̥(g), oblique ost(ʰ)-(e)n-",os
"ost(ʰ)-, ost(ʰ)i, ost(ʰ)r̥(g), oblique ost(ʰ)-(e)n-",bone
"oug-, ou-?",cold
ō(u̯)i̯-om,egg
ō(u̯)i̯-om,ovum
óu̯i-s,ewe
óu̯i-s,sheep
1. ōus- : əus-,os
1. ōus- : əus-,mouth
2. ōus- : əus- : us-,ear
ozdo-s,branch
ozgʰo-,bud
ozgʰo-,sprout
ozgʰo-,twig
"pā- : pə-, and pā-t- : pə-t-",to feed
"pā- : pə-, and pā-t- : pə-t-",graze
"pā- : pə-, and pā-t- : pə-t-",pasture
"pā̆ḱ-, and pā̆ǵ-",to repair
"pā̆ḱ-, and pā̆ǵ-",strengthen
pā̆n-,pane
pā̆n-,panel
pā̆n-,woven fabric
pando-s,crooked
"pank-, pang-",to swell
pap(p)a,papa (nursery word); food
pap(p)a,meal
pā̆r-,to show
pā̆r-,be visible
parīkā,concubine
pāsó-s,a relative
pasto-,firm
pasto-,fast
pasto-,solid
paus-,to free
paus-,let loose
"pāuson-, pūson-",(name of a deity)
"1. pē̆d-, pō̆d-",to hold; vat
"1. pē̆d-, pō̆d-",vessel
"1. pē̆d-, pō̆d-",container
"2. pē̆d-, pō̆d-",foot
"peg- : pog- : pōg-, pō̆k-s-",hip
"peg- : pog- : pōg-, pō̆k-s-",side
"peg- : pog- : pōg-, pō̆k-s-",shoulder
"pē(i)-, pī-",to hurt
"pē(i)-, pī-",scold
"pē(i)-, pī-",shame
"pei̯(ə)-, pī̆-",fat; milk
"1. peig-, and peik-",colored
"1. peig-, and peik-",speckled
"2. peiǵ-, and peiḱ-",to be hostile
pei-m(i)-,swift
pei-m(i)-,quick
pei-m(i)-,rapid
pei-m(i)-,nimble
1. peis-? : pis-,to grind
1. peis-? : pis-,trample
"2. peis-, speis-",to blow
"2. peis-, speis-",fizz
"peisk-, pisk-",fish
"1. peḱ-, pēḱ-, pōḱ-",to be joyful
"1. peḱ-, pēḱ-, pōḱ-",make pretty
2. peḱ-,to fleece; fee
2. peḱ-,cattle
pekʷ-,to cook
"1. pel-, pelə-, plē-",to pour
"1. pel-, pelə-, plē-",fill; full
"1. pel-, pelə-, plē-",plenary; town?
"2a. pel-, pelə- : plā-",to drive
"2a. pel-, pelə- : plā-",propel
"2a. pel-, pelə- : plā-",set in motion
"2b. pel-, pel-en-, pel-t-, pel-u̯-",dust
"2b. pel-, pel-en-, pel-t-, pel-u̯-",powder; meal
"2b. pel-, pel-en-, pel-t-, pel-u̯-",flour
3a. pel-,to fold
"3b. pel-, pelə-, plē-",to wrap
"3b. pel-, pelə-, plē-",cover; cloth; fell
"3b. pel-, pelə-, plē-",pelt
4. pel-,dish
4. pel-,vessel
5. pel-,to earn
5. pel-,sell
6. pel-,gray
6. pel-,dull color; pallor
"7. pel-, pol-, plē-, plō̆-",to burn
"7. pel-, pol-, plē-, plō̆-",be warm
"pelə-, plā-",plane
"pelə-, plā-",flat
"pelə-, plā-",wide
"pelə-, plā-",broad
"peli-s-, pel-s-",fell
"peli-s-, pel-s-",rock
pelḱ- : polḱ-,to turn
pelḱ- : polḱ-,bend
"pelpo-, or polpo-",woodwork
1. pen-,to feed
"2. pen-, pen-ko-",mud
"2. pen-, pen-ko-",fen
"2. pen-, pen-ko-",swamp
"2. pen-, pen-ko-",water; wet
penkʷe,five
penkʷe,fifth
pent-,to go
pent-,walk
pent-,pad
pent-,tread; way
pent-,path
"1. per-, perə- : prē-, preu-",to spray
"1. per-, perə- : prē-, preu-",sprinkle
"1. per-, perə- : prē-, preu-",drizzle
2a. per-,to pass over/beyond
"2b. per-, perə-",to fare
"2b. per-, perə-",ferry
"2b. per-, perə-",transport
"2b. per-, perə-",go/carry over
"2c. per-, perə-",to sell
"2c. per-, perə-",impart
2d. per-,to bear (a child)
2e. per-,to dare
2e. per-,risk
2e. per-,try; peril
2e. per-,danger
"3. per-, per-g-",to hit
"3. per-, per-g-",kill
perd-,to fart
perd-,break wind (loudly)
1. perg-,pole
1. perg-,stem
1. perg-,trunk
2. perg-,fear; to frighten
"1. perk-, prek-",to fill up
2. perk- : pr̥k-,coals
2. perk- : pr̥k-,glowing ash
1. perḱ-,breast
1. perḱ-,rib cage
"2. perḱ-, preḱ-",spotted
"2. perḱ-, preḱ-",speckled
"3. perḱ-, pr̥ḱ-",to open
"3. perḱ-, pr̥ḱ-",dig out
"3. perḱ-, pr̥ḱ-",rip up; furrow
"4. perḱ-, preḱ-, pr̥ḱ-",to request
"4. perḱ-, preḱ-, pr̥ḱ-",ask/pray for
perkʷu-s,oak
pers-,to spray
pers-,sprinkle
pers-,drizzle; dust
pers-,ashes
"persnā, persnī̆-, persno-",heel
pertʰ-,pole
pertʰ-,stick
1. pē̆s-,to blow
"2. pēs-, nasalized pēns-",dust
"2. pēs-, nasalized pēns-",sand
"3. pes-, pesos",penis
"1. pet-, p<sub>e</sub>t-, petə-",to stretch out (esp. arms)
"2. pet-, petə- : ptē-, ptō-, Hellenic ptā-",to fall
"2. pet-, petə- : ptē-, ptō-, Hellenic ptā-",tumble down
"1. peu-, peu̯ə- : pū̆-",to sift
"1. peu-, peu̯ə- : pū̆-",clean
"1. peu-, peu̯ə- : pū̆-",purge
"1. peu-, peu̯ə- : pū̆-",purify
2. peu-,to repute
2. peu-,explore
2. peu-,understand
pēu- : pəu- : pū̆-,to hit; sharp
"peuḱ-, and peuǵ-",to pink
"peuḱ-, and peuǵ-",stab
"peuḱ-, and peuǵ-",stick
"peu̯ōr, pū̆r, genitive pu-n-és, locative puu̯éni",fire
pezd-,to break wind (softly)
"pətḗ(r), genitive pətr-és",father
pid-,to bear
pid-,give birth?
pik(ʰ)o-,knot
pik(ʰ)o-,lump
pi-lo-,hair
pi-lo-,pile
pi-lo-,pilus
pi-n-,piece of wood
pī̆p(p)-,to peep
pī̆p(p)-,squeak
pīzdā-,vulva
plab-,to babble
plab-,prattle
plab-,etc.
"1. plā-k- : plə-k-, ple-k- : plō̆-k-, plei-k-, and pelə-g- : plā-g- : plə-g-",flat
"1. plā-k- : plə-k-, ple-k- : plō̆-k-, plei-k-, and pelə-g- : plā-g- : plə-g-",wide
"1. plā-k- : plə-k-, ple-k- : plō̆-k-, plei-k-, and pelə-g- : plā-g- : plə-g-",broad; spread out
"2. plāk-, plāg-, also plēk-, plēg-",to hit
"2. plāk-, plāg-, also plēk-, plēg-",beat
"2. plāk-, plāg-, also plēk-, plēg-",fling
"plā̆t-, plā̆d-, plē̆t-, plō̆t-, plət-",flat
"plā̆t-, plā̆d-, plē̆t-, plō̆t-, plət-",wide
"plā̆t-, plā̆d-, plē̆t-, plō̆t-, plət-",broad; spread out
"plē-, plə-",to cut
"plē-, plə-",split off
"plēi-, pləi-, plī-",bald
"plēi-, pləi-, plī-",bare
"plēi-, pləi-, plī-",naked
pleḱ-,to ply
pleḱ-,pleach
pleḱ-,plait
pleḱ-,weave
"plēḱ-, pləḱ-, and plēiḱ-, plīḱ-",to flay
"plēḱ-, pləḱ-, and plēiḱ-, plīḱ-",peel
"plēḱ-, pləḱ-, and plēiḱ-, plīḱ-",rip
"plēḱ-, pləḱ-, and plēiḱ-, plīḱ-",tear off
pleu-,to flee
pleu-,fly
pleu-,run; flow
pleu-,swim
pleuk-,floc
pleuk-,hair
pleuk-,feather
"pl(e)u-mon-, pleu-ti̯o-",lung
pleus-,to pluck
pleus-,deplume
pleus-,pull out; plucked hair/feathers
"pləi-, pləu-",to broaden
"pləi-, pləu-",show off
"plouto-, pluto-",(wooden object)
pneu-,to pant
pneu-,breathe
pn̥ksti-,fist
1. pō(i)- : pəi-? : pī-,to graze
1. pō(i)- : pəi-? : pī-,pasture
"2. pō(i)- : pī-, and (from pō-), p<sub>o</sub>-",to bib
"2. pō(i)- : pī-, and (from pō-), p<sub>o</sub>-",drink
polo- : pōlo-,big
polo- : pōlo-,fat
polo- : pōlo-,thick
polo- : pōlo-,swollen
porḱo-s,porker
porḱo-s,pig(let)
pos,about
pos,around; by
pos,beside; in front of
po-ti,against
po-ti,opposite
po-ti,toward
poti-s,host
poti-s,husband
poti-s,lord
poti-s,master
poti-s,owner
pōu- : pəu- : pū̆-,few
pōu- : pəu- : pū̆-,small
pōu- : pəu- : pū̆-,little; young (of animals)
"pougo-, or pougʰo-",pure
"pougo-, or pougʰo-",clear
prā-,to bend
"prāi-, prəi-, prī-, pri-",to like
"prāi-, prəi-, prī-, pri-",feel friendly/well-disposed
preg-,greedy
preg-,covetous; willful
preg-,violent
prep-,to catch sight of
"pret-, prō̆t-",to understand
preu-,to hop
preu-,jump
preus-,to burn
preus-,freeze
prīs-,to granulate
prīs-,reduce to small pieces
prōḱto- : prəḱto-,rump
prōḱto- : prəḱto-,backside
pr̥so-,leek
pr̥so-,onion
pr̥so-,garlic
"pster-, pstereu-",to sneeze
ptel(e)i̯ā,(type of tree
ptel(e)i̯ā,e.g. poplar/popple)
"1. pū̆-, peu-, pou-, also pʰu-",to blow (up)
2. pū̆- : peu̯ə-,to rot
2. pū̆- : peu̯ə-,stink
"1. pū̆k-, peuk-",thick-haired
2. puḱ-,to enclose
2. puḱ-,press together
pu-lo-,(stiff) hair
pū-ro-,grain
pū-ro-,kernel
pʰō̆l-,to fall
"rabʰ-, or rebʰ- : r<sub>e</sub>bʰ-",to rage
"rabʰ-, or rebʰ- : r<sub>e</sub>bʰ-",be furious
"rāp-, rēp-",rape (plant)
"rāp-, rēp-",turnip
rā̆s-,to cry
rā̆s-,(re)sound
5. rē-,dark
1. rebʰ-,to move
1. rebʰ-,hurry about
2. rebʰ-,to roof
2. rebʰ-,thatch
1. rēd-,to excite
1. rēd-,cheer up
1. rēd-,be joyful
2. rēd- : rōd- : rəd-,to gnaw
2. rēd- : rōd- : rəd-,scrape
2. rēd- : rōd- : rəd-,scratch
"1. reg-, and sreg-?",to dye
2. reg-,to see
1. reǵ-,to regulate
1. reǵ-,make just/right; king
1. reǵ-,reign
"2. reǵ-, reḱ-, rek-?",damp; rain
regʷos-,darkness
1. rei-,to cut
1. rei-,reap
1. rei-,rive
1. rei-,tear
1. rei-,scratch
"2. rei-, roi-",spotted
"2. rei-, roi-",speckled
"2. rei-, roi-",brightly variegated
"3. rei-, rē(i)-",to cry
"3. rei-, rē(i)-",scream
"3. rei-, rē(i)-",bellow
"3. rei-, rē(i)-",etc.
4. rei- : rēi-,thing
4. rei- : rēi-,possession
reibʰ-,(onomatopoeic: to resound?)
reid-,to support
reid-,lean against
reidʰ-,to ride
reidʰ-,go (in vehicle)
"reig-, or reiǵ-",to rig
"reig-, or reiǵ-",tie
"reig-, or reiǵ-",bind
"reiǵ-, rēiǵ-",to reach
"reiǵ-, rēiǵ-",stretch out
reik-,to stretch oneself; pole
rei-r(ēi)-,(onomatopoeic: to quake
rei-r(ēi)-,tremble)
"rēito-, rēiti-",joint
"rēito-, rēiti-",shoulder (of animals)
1. rek-,to project
1. rek-,tower up; pole
2. rē̆k-,to reck
2. rē̆k-,reckon
2. rē̆k-,arrange
2. rē̆k-,prepare
"reḱ-, reǵ-",to bind
reḱþʰ-,to harm
reḱþʰ-,injure
"rem-, remə-",to rest; to support
rendʰ-,to rend
rendʰ-,rip
rendʰ-,tear to pieces
rent-,thing?
rep-,to grab
rep-,rip out
rep-,ravish
"1. rēp-, rep-?",to creep
"1. rēp-, rep-?",crawl
"2. rēp-, rəp-",pole
"2. rēp-, rəp-",stake
"2. rēp-, rəp-",beam
"2. rēp-, rəp-",rafter
ret(ʰ)-,to run
ret(ʰ)-,roll
ret(ʰ)-,rotate
"rēt-, rōt-, rət-",pole
"rēt-, rōt-, rət-",rood; stem
"rēt-, rōt-, rət-",stick
"rēt-, rōt-, rət-",trunk
"1. reu-, rēu-, rū̆-",(onomatopoeic: to roar
"1. reu-, rēu-, rū̆-",rout
"1. reu-, rēu-, rū̆-",round
"1. reu-, rēu-, rū̆-",etc.)
"2. reu-, reu̯ə- : rū̆-",to open
"2. reu-, reu̯ə- : rū̆-",tear out
"2. reu-, reu̯ə- : rū̆-",dig/rip up
"2. reu-, reu̯ə- : rū̆-",etc.
"reu-b-, and reu-g-",to belch
"reu-b-, and reu-g-",eruct
"reu-b-, and reu-g-",retch
"reu-b-, and reu-g-",vomit
reudʰ-,red
reugʰ-m(e)n-,ream
reugʰ-m(e)n-,cream?
reus-,elm (tree)
reu-smen-,to chew
reu-smen-,ruminate; throat
reu-smen-,rumen
"reuto-, routo-, rut-",stomach
"reuto-, routo-, rut-",intestines (of an animal)
reu̯ə- : rū-,to ream
reu̯ə- : rū-,open; wide
reu̯ə- : rū-,roomy
rezg-,to plait
rezg-,weave
rezg-,wind
"ruk(k)-, rouk(k)-",yarn; fabric
r̥ksā,fetlock; tether
ŕ̥ḱþo-s,bear (animal)
"sā-, sə-",enough
"sā-, sə-",satiate
"sā-, sə-",sufficient
sāg-,to seek
sāg-,track
sāg-,trail
sāi-,pain
sāi-,illness; sore
saip-,fence
saip-,stall
saip-,enclosure
sak-,to sacrifice
sak-,sanctify
sak-,make a treaty
1. sal-,sal
1. sal-,salt; brackish water
2. sal-,gray
2. sal-,dirty
2. sal-,sallow
sā̆lo-,wavy
sāno-s,sane
sāno-s,healthy?
"sap-, sab-",to taste
"sap-, sab-",savvy
"sap-, sab-",perceive
sasi̯o-,(type of grain)
"saus-, sus-",sere
"saus-, sus-",dry
"sā́u̯el-, sāu̯ol-, suu̯él-, su̯el-, sūl-",Sol
"sā́u̯el-, sāu̯ol-, suu̯él-, su̯el-, sūl-",sun
se-,self
se-,one's own
sed-,to sit
sed-,set
sed-,settle
1. seg-,to sow (seed)
"2. seg-, nasalized seng-",to attach
"2. seg-, nasalized seng-",tack on
"seǵʰ-, seǵʰi-, seǵʰu-",to possess
"seǵʰ-, seǵʰi-, seǵʰu-",hold fast
"seǵʰ-, seǵʰi-, seǵʰu-",persevere
"seǵʰ-, seǵʰi-, seǵʰu-",overcome; victory
"sei-, soi-",to drip
"sei-, soi-",be damp
1. sē(i)-,to sift
"2. sē(i)- : səi- : sī-, sē- : sə-, and sei- : si-",to sow
"2. sē(i)- : səi- : sī-, sē- : sə-, and sei- : si-",dispatch
"2. sē(i)- : səi- : sī-, sē- : sə-, and sei- : si-",disseminate
"2. sē(i)- : səi- : sī-, sē- : sə-, and sei- : si-",let fall
"3. sē(i)-, səi- : sī-, and sei- : si-",to bind
"3. sē(i)-, səi- : sī-, and sei- : si-",strap
"3. sē(i)-, səi- : sī-, and sei- : si-",tie
"sē[i]dʰ- : sī̆dʰ-, and sədʰ-",to aim at
"sē[i]dʰ- : sī̆dʰ-, and sədʰ-",strive for
"sē̆ik-, sī̆k-",to grip
"sē̆ik-, sī̆k-",reach for
seikʷ-,to spill
seikʷ-,pour out
"seip-, seib-",to sift
"seip-, seib-",pour out
1. sek-,to run off
1. sek-,dry out (re: water)
2. sē̆k-,to cut
2. sē̆k-,section
2. sē̆k-,dissect
3. sēk-,to abate; lazy
3. sēk-,quiet
1. sekʷ-,to segue
1. sekʷ-,follow
2. sekʷ-,to see
2. sekʷ-,notice; show
2. sekʷ-,say
2. sekʷ-,speak
1. sel-,salon
1. sel-,dwelling place
"2. sel-, su̯el-",sill
"2. sel-, su̯el-",beam
"2. sel-, su̯el-",board
3. sel-,to grab
